time,enrolled,available,waitlisted,total,course,quarter,pass,priority
2022-05-20,0.0,68.0,0.0,68.0,AAS 10,FA 22,1,1
2022-05-21,3.0,65.0,0.0,68.0,AAS 10,FA 22,1,2
2022-05-22,6.0,62.0,0.0,68.0,AAS 10,FA 22,1,3
2022-05-23,6.0,62.0,0.0,68.0,AAS 10,FA 22,1,4
2022-05-27,32.0,36.0,0.0,68.0,AAS 10,FA 22,2,1
2022-05-28,31.0,37.0,0.0,68.0,AAS 10,FA 22,2,2
2022-05-29,34.0,34.0,0.0,68.0,AAS 10,FA 22,2,3
2022-05-30,34.0,34.0,0.0,68.0,AAS 10,FA 22,2,4
2022-06-03,68.0,0.0,7.0,68.0,AAS 10,FA 22,3,6
2022-08-17,68.0,0.0,4.0,68.0,AAS 10,FA 22,1,5
2022-08-24,68.0,0.0,18.0,68.0,AAS 10,FA 22,2,5
2022-05-20,0.0,32.0,0.0,32.0,AAS 170,FA 22,1,1
2022-05-21,0.0,32.0,0.0,32.0,AAS 170,FA 22,1,2
2022-05-22,1.0,31.0,0.0,32.0,AAS 170,FA 22,1,3
2022-05-23,2.0,30.0,0.0,32.0,AAS 170,FA 22,1,4
2022-05-27,3.0,29.0,0.0,32.0,AAS 170,FA 22,2,1
2022-05-28,3.0,29.0,0.0,32.0,AAS 170,FA 22,2,2
2022-05-29,4.0,28.0,0.0,32.0,AAS 170,FA 22,2,3
2022-05-30,4.0,28.0,0.0,32.0,AAS 170,FA 22,2,4
2022-06-03,5.0,27.0,0.0,32.0,AAS 170,FA 22,3,6
2022-08-17,6.0,26.0,0.0,32.0,AAS 170,FA 22,1,5
2022-08-24,11.0,21.0,0.0,32.0,AAS 170,FA 22,2,5
2022-05-20,0.0,150.0,0.0,150.0,AIP 197,FA 22,1,1
2022-05-21,0.0,150.0,0.0,150.0,AIP 197,FA 22,1,2
2022-05-22,0.0,150.0,0.0,150.0,AIP 197,FA 22,1,3
2022-05-23,0.0,150.0,0.0,150.0,AIP 197,FA 22,1,4
2022-05-27,0.0,150.0,0.0,150.0,AIP 197,FA 22,2,1
2022-05-28,0.0,150.0,0.0,150.0,AIP 197,FA 22,2,2
2022-05-29,0.0,150.0,0.0,150.0,AIP 197,FA 22,2,3
2022-05-30,0.0,150.0,0.0,150.0,AIP 197,FA 22,2,4
2022-06-03,0.0,150.0,0.0,150.0,AIP 197,FA 22,3,6
2022-08-17,0.0,10149.0,0.0,10149.0,AIP 197,FA 22,1,5
2022-08-24,0.0,10149.0,0.0,10149.0,AIP 197,FA 22,2,5
2022-05-20,0.0,27.0,0.0,27.0,AIP 197DC,FA 22,1,1
2022-05-21,0.0,27.0,0.0,27.0,AIP 197DC,FA 22,1,2
2022-05-22,0.0,27.0,0.0,27.0,AIP 197DC,FA 22,1,3
2022-05-23,0.0,27.0,0.0,27.0,AIP 197DC,FA 22,1,4
2022-05-27,0.0,27.0,0.0,27.0,AIP 197DC,FA 22,2,1
2022-05-28,0.0,27.0,0.0,27.0,AIP 197DC,FA 22,2,2
2022-05-29,0.0,27.0,0.0,27.0,AIP 197DC,FA 22,2,3
2022-05-30,0.0,27.0,0.0,27.0,AIP 197DC,FA 22,2,4
2022-06-03,0.0,27.0,0.0,27.0,AIP 197DC,FA 22,3,6
2022-08-17,12.0,15.0,0.0,27.0,AIP 197DC,FA 22,1,5
2022-08-24,12.0,15.0,0.0,27.0,AIP 197DC,FA 22,2,5
2022-05-20,0.0,15.0,0.0,15.0,AIP 197T,FA 22,1,1
2022-05-21,0.0,15.0,0.0,15.0,AIP 197T,FA 22,1,2
2022-05-22,0.0,15.0,0.0,15.0,AIP 197T,FA 22,1,3
2022-05-23,0.0,15.0,0.0,15.0,AIP 197T,FA 22,1,4
2022-05-27,0.0,15.0,0.0,15.0,AIP 197T,FA 22,2,1
2022-05-28,0.0,15.0,0.0,15.0,AIP 197T,FA 22,2,2
2022-05-29,0.0,15.0,0.0,15.0,AIP 197T,FA 22,2,3
2022-05-30,0.0,15.0,0.0,15.0,AIP 197T,FA 22,2,4
2022-06-03,0.0,15.0,0.0,15.0,AIP 197T,FA 22,3,6
2022-08-17,0.0,15.0,0.0,15.0,AIP 197T,FA 22,1,5
2022-08-24,0.0,15.0,0.0,15.0,AIP 197T,FA 22,2,5
2022-05-20,0.0,25.0,0.0,25.0,ANAR 100,FA 22,1,1
2022-05-21,0.0,25.0,0.0,25.0,ANAR 100,FA 22,1,2
2022-05-22,3.0,22.0,0.0,25.0,ANAR 100,FA 22,1,3
2022-05-23,3.0,22.0,0.0,25.0,ANAR 100,FA 22,1,4
2022-05-27,6.0,19.0,0.0,25.0,ANAR 100,FA 22,2,1
2022-05-28,6.0,14.0,0.0,20.0,ANAR 100,FA 22,2,2
2022-05-29,7.0,13.0,0.0,20.0,ANAR 100,FA 22,2,3
2022-05-30,7.0,13.0,0.0,20.0,ANAR 100,FA 22,2,4
2022-06-03,16.0,4.0,0.0,20.0,ANAR 100,FA 22,3,6
2022-08-17,17.0,3.0,0.0,20.0,ANAR 100,FA 22,1,5
2022-08-24,19.0,1.0,2.0,20.0,ANAR 100,FA 22,2,5
2022-05-20,0.0,15.0,0.0,15.0,ANAR 104,FA 22,1,1
2022-05-21,2.0,13.0,0.0,15.0,ANAR 104,FA 22,1,2
2022-05-22,2.0,13.0,0.0,15.0,ANAR 104,FA 22,1,3
2022-05-23,2.0,13.0,0.0,15.0,ANAR 104,FA 22,1,4
2022-05-27,11.0,4.0,0.0,15.0,ANAR 104,FA 22,2,1
2022-05-28,11.0,4.0,0.0,15.0,ANAR 104,FA 22,2,2
2022-05-29,14.0,1.0,0.0,15.0,ANAR 104,FA 22,2,3
2022-05-30,15.0,0.0,2.0,15.0,ANAR 104,FA 22,2,4
2022-06-03,15.0,0.0,4.0,15.0,ANAR 104,FA 22,3,6
2022-08-17,15.0,0.0,6.0,15.0,ANAR 104,FA 22,1,5
2022-08-24,15.0,0.0,6.0,15.0,ANAR 104,FA 22,2,5
2022-05-20,0.0,15.0,0.0,15.0,ANAR 120,FA 22,1,1
2022-05-21,0.0,15.0,0.0,15.0,ANAR 120,FA 22,1,2
